Company,Website,Phone,Address,Email,Team Page,Person 1,Job 1,Person 2,Job 2,Person 3,Job 3
MediaWhiz,"=HYPERLINK(""http://www.mediawhiz.com"")",646.442.0074,"=HYPERLINK(""https://www.google.com/maps/preview/place/'77 Water Street 12th Floor New York'"")",info@mediawhiz.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+mediawhiz"")",Keith Trivitt,Director of Marketing,Jimmy Chin,"",Ayme Yaiser,VP Marketing & Communications
Someecards,"=HYPERLINK(""http://someecards.com"")",1 877-866-2836,"=HYPERLINK(""https://www.google.com/maps/preview/place/'401 1st Ave Apt 7c New York'"")",feedback@someecards.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+someecards"")",Brook Lundy,"Co-Founder, President, Head Writer",Duncan Mitchell,"Co-founder, CEO, Chief Product Officer",Chris Sacca,Advisor / Investor
mySupermarket,"=HYPERLINK(""http://www.mysupermarket.com"")",1.646.862.6006,"=HYPERLINK(""https://www.google.com/maps/preview/place/'10 West 18th Street 7th Floor New York'"")",customercare@mysupermarket.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+mysupermarket"")",Allon Bloch,CEO,Amir Ofer,President,Rami Beracha,Board Member
PixelCrayons,"=HYPERLINK(""http://www.pixelcrayons.com"")",8884718636,"=HYPERLINK(""https://www.google.com/maps/preview/place/'228 Park Ave S # 25950  New York'"")",marketing@pixelcrayons.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+pixelcrayons"")", ,"", ,"", ,""
lifestream.fm,"=HYPERLINK(""http://lifestream.fm"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'  New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+lifestream-fm"")",Juan Xavier Larrea,Founder, ,"", ,""
Flugpo,"=HYPERLINK(""http://www.flugpo.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'225 W. 36th Street 7th floor New York'"")",davidmetz@flugpo.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+flugpo"")",David Metz,Founder/CEO, ,"", ,""
Mojiva,"=HYPERLINK(""http://www.mojiva.com"")",6468626201,"=HYPERLINK(""https://www.google.com/maps/preview/place/'136 Baxter St  New York'"")",info@mojiva.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+mojiva"")",Miles Spencer,"Founder, Chairman",Dave Gwozdz,CEO,Dan Goikhman,"Co-Founder, SVP Strategic Alliances"
Associated Press,"=HYPERLINK(""http://www.ap.org"")",212-621-1500,"=HYPERLINK(""https://www.google.com/maps/preview/place/'450 W. 33rd St.  New York'"")",info@ap.org,"=HYPERLINK(""https://www.google.com/search?q='management+team'+associated-press"")",Gary Pruitt,President & CEO,Ken Dale,Senior Vice President - Chief Financial Officer,Daisy Veerasingham,Senior Vice President - Business Development & Partner Relations EMEA/Asia
NEHST Studios,"=HYPERLINK(""http://www.nehst.com"")",877-286-7610,"=HYPERLINK(""https://www.google.com/maps/preview/place/'545 8th Avenue, Suite 401  New York'"")",info@nehst.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+nehst-studios"")",Larry Meistrich,Chairman and Founder,Ari D. Friedman,CEO,Jeff Silverstein,President - Nehst Access & Development
alaTest,"=HYPERLINK(""http://alatest.com"")",+46 8 30 12 75,"=HYPERLINK(""https://www.google.com/maps/preview/place/'175 Varick Street  New York'"")",info@alatest.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+alatest"")",Arie Struik,Founder & CEO,Scott Gordon,"Country Manager, USA & Canada",Peter Björk,Co-Founder & COO
Geeknet,"=HYPERLINK(""http://www.geek.net"")",1-877-433-5638,"=HYPERLINK(""https://www.google.com/maps/preview/place/'  New York'"")",pr@geek.net,"=HYPERLINK(""https://www.google.com/search?q='management+team'+geeknet"")",Kenneth G. Langone,Chairman of the Board of Directors/ Interim President and Chief Executive Officer,Patricia Morris,Chief Financial Officer,Dave Colford,"Senior Vice President, Sales"
BookGlutton,"=HYPERLINK(""http://www.bookglutton.com"")",562-394-2873,"=HYPERLINK(""https://www.google.com/maps/preview/place/'Dogpatch Labs 36 E 12th St, FL 2 New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+bookglutton"")",Travis Alber,Founder,Aaron Miller,Founder, ,""
Visible World,"=HYPERLINK(""http://visibleworld.com"")",212.739.1900,"=HYPERLINK(""https://www.google.com/maps/preview/place/'460 W. 34th St. Floor 14  New York'"")",info@visibleworld.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+visible-world"")",William Katz,Non-Executive Chairman,Seth Haberman,Founder & CEO,Scott Falconer,COO
Salesconx,"=HYPERLINK(""http://www.salesconx.com"")",212-453-9880,"=HYPERLINK(""https://www.google.com/maps/preview/place/'701 Seventh Ave 9th Floor New York'"")",info@salesconx.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+salesconx"")",Evan Sohn,CEO,Nicolas Dinatale,CTO,John Goldsmith,Board of Directors
Omnipod,"=HYPERLINK("""")",212-620-2845,"=HYPERLINK(""https://www.google.com/maps/preview/place/'205 Hudson Street Floor 7 New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+omnipod"")",Gideon Stein,Founder & CEO,Evan Sohn,Chief Sales and Marketing Officer, ,""
RealMatch,"=HYPERLINK(""http://www.realmatch.com"")",212-419-4649,"=HYPERLINK(""https://www.google.com/maps/preview/place/'90 Broad Street  New York'"")",info@realmatch.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+realmatch"")",Alan Schonberg,"Chairman, Co-founder",Amir Kaldor,Chief Technology Officer,Motti Mor,Chief Client Officer
New York Designs,"=HYPERLINK(""http://www.newyorkwebdesigns.net"")",1-347-410-9652,"=HYPERLINK(""https://www.google.com/maps/preview/place/'4530 41 Street  New York'"")",info@newyorkwebdesigns.net,"=HYPERLINK(""https://www.google.com/search?q='management+team'+new-york-designs"")",Ernie Ramirez,CEO,Claire Liu,CFO, ,""
Delivery.com,"=HYPERLINK(""http://www.delivery.com"")",1-800-709-7191,"=HYPERLINK(""https://www.google.com/maps/preview/place/'199 Water Street 23rd Floor New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+delivery-com"")",Jed Kleckner,CEO,Michael Davis,VP of Sales,David DiPasquale,COO & VP Sales
Social Median,"=HYPERLINK(""http://www.socialmedian.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'11 E. 36th St. #705 New York'"")",info@socialmedian.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+social-median"")",Jason Goldberg,Founder, ,"", ,""
Travora Networks,"=HYPERLINK(""http://www.travoranetworks.com"")",212.267.0747,"=HYPERLINK(""https://www.google.com/maps/preview/place/'989 Avenue of the Americas 11th Floor New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+travel-ad-network"")",Josh Steinitz,CRO & EVP Business Development,Tim Springstead,Vice President of Sales,Cree Lawson,""
Fog Creek Software,"=HYPERLINK(""http://www.fogcreek.com"")",866 364 2733,"=HYPERLINK(""https://www.google.com/maps/preview/place/'55 Broadway Floor 25 New York'"")",customer-service@fogcreek.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+fog-creek-software"")",Joel Spolsky,Chairman of the Board,Michael Pryor,President and Co-Founder,Rich Armstrong,General Manager
Scanbuy,"=HYPERLINK(""http://www.scanlife.com"")",212-278-0178,"=HYPERLINK(""https://www.google.com/maps/preview/place/'10 East 39th Street 10th Floor New York'"")",info@scanbuy.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+scanbuy"")",Chai Outmezguine,"Co-founder, General Counsel",David Javitch,"VP, Product",Didier Frantz,"Co-founder, COO/CFO/Director of China Operations"
BeenVerified,"=HYPERLINK(""http://www.beenverified.com"")",866 956 6279,"=HYPERLINK(""https://www.google.com/maps/preview/place/'307 5th Avenue 16th Floor New York'"")",support@beenverified.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+beenverified"")",Joshua Levy,"Co-Founder, Chief Executive Officer",Ross Cohen,"Co-founder, Chief Operating Officer",Jason Amster,Chief Technical Officer
E*Trade,"=HYPERLINK(""http://www.etrade.com"")",1-800-387-2331,"=HYPERLINK(""https://www.google.com/maps/preview/place/'135 East 57th Street  New York'"")",tellmemore@etrade.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+e-trade"")",Donald H. Layton,CEO and Chairman,Nick Utton,Chief Marketing Officer,George Gorman,Program Manager
McKinsey & Company,"=HYPERLINK(""http://www.mckinsey.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'55 East 52nd Street 21st Floor New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+mckinsey-company"")",Matt Ariker,COO Consumer Big Data Marketing Analytics Center,Ferry Grijpink,Partner,Thomaz Cortes,Business Analyst
StubOrder,"=HYPERLINK(""http://www.stuborder.com"")",1-866-446-3754,"=HYPERLINK(""https://www.google.com/maps/preview/place/'100 Maple Street  New York'"")",info@stuborder.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+stuborder"")", ,"", ,"", ,""
Schematic,"=HYPERLINK(""http://www.schematic.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'41 E. 11th St. 6th Floor New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+schematic"")",Dale Herigstad,Chief Creative Officer,Andrew Solmssen,Executive Vice President,Nick Worth,President
Spotify,"=HYPERLINK(""http://www.spotify.com"")",0709821244,"=HYPERLINK(""https://www.google.com/maps/preview/place/'76 9th Avenue Suite 1110, 11th Floor New York'"")",press@spotify.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+spotify"")",Daniel Ek,Co-founder,Teymour Farman-Farmaian,Chief Acquisition & Retention Officer,Kenneth Parks,"Chief Content Officer & Managing Director, North America"
Zenbe,"=HYPERLINK(""http://www.zenbe.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'156 Reade Street  New York'"")",feedback@zenbe.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+zenbe"")",Tom Alison,Co-founder,Alan Chung,CEO & Co-founder,Peter Stern,President & Co-founder
Sony BMG Music Entertainment,"=HYPERLINK(""http://sonybmg.com"")",212-833-8000,"=HYPERLINK(""https://www.google.com/maps/preview/place/'550 Madison Avenue 20th Floor New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+sony-bmg-music-entertainment"")",Matt Schwartz,Sr Director A&R Opertaions,Dan Weiner,"VP, Online Media Network",Alexander Harrington,"Sr. Director, New Bus Dev"
"Verizon Communications, Inc.","=HYPERLINK(""http://www.verizon.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'140 West Street  New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+verizon"")",Lowell McAdam,President & CEO,Doreen A. Toben,CFO,Johnny Negretti,"Chief Strategist, Emerging Technologies"
Kidmondo,"=HYPERLINK(""http://kidmondo.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'  New York'"")",hello@kidmondo.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+kidmondo"")",Carole Hallac,Co-Founder,Daniel Hallac,Co-Founder, ,""
HyperCalc,"=HYPERLINK(""http://www.hypercalc.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'  New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+hypercalc"")", ,"", ,"", ,""
Xerpi,"=HYPERLINK(""http://xerpi.com"")",(702) 932-4069,"=HYPERLINK(""https://www.google.com/maps/preview/place/'  New York'"")",contact@xerpi.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+xerpi"")",Will Becker,Co-founder,Wray Mills,CTO,Jen Yip,Marketing
Invoke,"=HYPERLINK(""http://www.invokemedia.com"")",604.398.6030,"=HYPERLINK(""https://www.google.com/maps/preview/place/'33 W. 17th St. 7th Floor New York'"")",info@invokemedia.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+invoke-media"")",Dario Meli,Co-CEO,David Tedman,Co-CEO,Matson Wade,President
Tabbery,"=HYPERLINK("""")",1.877 TABBERY,"=HYPERLINK(""https://www.google.com/maps/preview/place/'  New York'"")",info@tabbery.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+tabbery"")", ,"", ,"", ,""
Mobog,"=HYPERLINK(""http://www.mobog.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'PO Box 20020 greeley sq station  New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+mobog"")",Philip Kaplan,Founder, ,"", ,""
Subway Crush,"=HYPERLINK(""http://www.subwaycrush.com"")",212-444-8995,"=HYPERLINK(""https://www.google.com/maps/preview/place/'119 W. 23rd St. Suite 508 New York'"")",contact@subwaycrush.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+subway-crush"")",Mike Bodge,"",Matt Haggerty,Owner, ,""
CHIC.TV,"=HYPERLINK(""http://www.chic.tv"")",6469323482,"=HYPERLINK(""https://www.google.com/maps/preview/place/'244 Fifth Ave. #2964  New York'"")",info@chic.tv,"=HYPERLINK(""https://www.google.com/search?q='management+team'+chic-tv"")",Rami Rinot,CEO,Daniel Slivkovitz,VP Internet Technologies,Janice Prishwalko,Senior Editor
onebluebrick,"=HYPERLINK(""http://onebluebrick.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'10 Downing St  New York'"")",hello@onebluebrick.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+onebluebrick"")",Matthew Rosenberg,co-founder/director of ideas,Andy Thompson,co-founder/director of creative,Michael Constantiner,director of operations
Friend2Friend,"=HYPERLINK(""http://friend2friend.com"")",+1 (650) 330-0900,"=HYPERLINK(""https://www.google.com/maps/preview/place/'41 East 11th Street  New York'"")",getstarted@friend2friend.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+friend2friend"")",Roger Katz,CEO and Co-Founder,Alice Lankester,CMO,Roger Esteban,CTO
GoMobo,"=HYPERLINK(""http://gomobo.com"")",212-260-0895 ,"=HYPERLINK(""https://www.google.com/maps/preview/place/'84 Wooster Street Suite 301 New York'"")",info@gomobo.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+gomobo"")",Noah N. Glass,CEO & Founder,Jim Ramstein,"",James D Robinson,Board of Directors
NewsCred,"=HYPERLINK(""http://www.newscred.com"")",212-989-4100,"=HYPERLINK(""https://www.google.com/maps/preview/place/'27 W 24th Street, Suite 202  New York'"")",platform@newscred.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+newscred"")",Asif Rahman,"Co-Founder, Chief Architect",Shafqat Islam,"Co-Founder, CEO",Scott Lehr,Chief Operating Officer
WebVet,"=HYPERLINK(""http://www.webvet.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'333 E. 79th St., #1W  New York'"")",support@webvet.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+webvet"")",Bill Zaccheo,Founder and CEO,Spencer Hoffman,VP Technology,Hope Schultz,Founder & Board of Directors
Lyquidity,"=HYPERLINK(""http://www.lyquidity.com"")",1-800 401 0289,"=HYPERLINK(""https://www.google.com/maps/preview/place/'  New York'"")",info@lyquidity.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+lyquidity"")", ,"", ,"", ,""
College Mogul,"=HYPERLINK(""http://collegemogul.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'  New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+college-mogul"")",Alexander Lindahl,"",Miles Lennon,"Co-Founder, Editor",Jon Oyvind Eriksen,""
Facilitas,"=HYPERLINK(""http://facilitas.com"")",(212) 738-9292,"=HYPERLINK(""https://www.google.com/maps/preview/place/'247 West 37th Street  New York'"")",support@findabetterbank.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+facilitas"")",Robert Rubin,Founder & CEO,Peter Hamlen,CTO, ,""
Passenger,"=HYPERLINK(""http://thinkpassenger.com"")",323-556-5400,"=HYPERLINK(""https://www.google.com/maps/preview/place/'30 Broad Street 43rd Floor New York'"")",info@thinkpassenger.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+think-passenger"")",Bahram Nour-Omid,CEO,Arnaud Gregori,Chief Financial Officer,Kevin Owens,VP Product Management
Newsweek,"=HYPERLINK(""http://www.newsweek.com"")",212-445-5120,"=HYPERLINK(""https://www.google.com/maps/preview/place/'251 West 57th Street  New York'"")",letters@newsweek.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+newsweek"")",Ann L. McDaniel,Assistant Managing Editor / Chief Of Correspondents,Jennifer Barrett,Writer and Editor,Jonathan Alter,Senior Editor
findingDulcinea,"=HYPERLINK(""http://www.findingdulcinea.com/home.html"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'475 Park Ave. S  New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+findingdulcinea"")", ,"", ,"", ,""
[x+1],"=HYPERLINK(""http://www.xplusone.com"")",212.741.4222,"=HYPERLINK(""https://www.google.com/maps/preview/place/'315 Park Avenue South 12th floor New York'"")",pgrignon@xplusone.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+x"")",Matt Prohaska,"SVP, Media Solutions",Norm Page,VP Sales,Rich LeFurgy,Board Director
Broadband Reports,"=HYPERLINK(""http://www.dslreports.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'408/1636 third avenue  New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+broadband-reports"")", ,"", ,"", ,""
Zedge,"=HYPERLINK(""http://www.zedge.net"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'22 Cortland Street (12th floor)  New York'"")",contact@zedge.net,"=HYPERLINK(""https://www.google.com/search?q='management+team'+zedge"")",Tom Arnoy,President and Co-founder,Moshe Berger,Chairman and CEO,Michael Wechsler,SVP Business Strategy
Dstillery (formerly Media6Degrees),"=HYPERLINK(""http://dstillery.com"")",646.278.4921,"=HYPERLINK(""https://www.google.com/maps/preview/place/'37 E 18th Street 9th Floor New York'"")",info@dstillery.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+media6degrees"")",Tom Phillips,CEO,Claudia Perlich,Chief Scientist,Rod Hook,"CTO, Co-Founder"
